superterm_name	superterm_acc	superterm_type	id	term_id	gene_product_id	is_not	role_group	assocdate	source_db_id	gp_symbol	gp_full_name	gp_dbname	gp_acc	genus	species	ncbi_taxa_id	common_name
beta-amyloid metabolic process	GO:0050435	biological_process	208648363	40059	301002	0		20160507	68	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208648364	40059	301002	0		20140515	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208648364	40059	301002	0		20140515	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208648366	40471	301002	0		20140410	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208648366	40471	301002	0		20140410	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208648367	40471	301002	0		20140326	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208648367	40471	301002	0		20140326	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256437332	40059	301002	0		20140515	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256437332	40059	301002	0		20140515	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256437334	40471	301002	0		20140410	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256437334	40471	301002	0		20140410	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256437335	40471	301002	0		20140326	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256437335	40471	301002	0		20140326	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1505114	27630	301111	0		20141208	15	ACE	ACE	UniProtKB	P12821	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208665022	27630	301111	0		20141208	15	ACE	ACE	UniProtKB	P12821	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256440748	27630	301111	0		20141208	15	ACE	ACE	UniProtKB	P12821	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1507180	27630	301176	0		20131213	307	APEH	APEH	UniProtKB	P13798	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208673195	27630	301176	0		20131213	307	APEH	APEH	UniProtKB	P13798	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256442786	27630	301176	0		20131213	307	APEH	APEH	UniProtKB	P13798	Homo	sapiens	9606	human
